pl_name,ra,dec,pl_bmasse
HD 149026 b,247.6229827,38.3475349,116.957
NGTS-9 b,141.9206435,-19.3476477,
TOI-3919 b,208.9447534,40.3918061,
HAT-P-2 b,245.1514324,41.0479601,
TOI-1736 b,43.4344615,69.101345,12.3
TOI-1516 b,340.0846204,69.5037313,1004.33777
TOI-1859 b,279.8317644,69.5228726,
XO-6 b,94.7929552,73.8275672,1398.452
NGTS-4 b,89.5988945,-30.8117992,
NGTS-9 b,141.9206435,-19.3476477,921.707
TOI-1288 b,313.1670294,65.6087833,
HD 17156 b,42.4366123,71.7530882,1036.76146
NGTS-16 b,58.2639299,-30.8046405,211.99155
TOI-4145 A b,39.4297435,80.2673838,136.66622
NGTS-14 A b,328.5174799,-38.3774193,
NGTS-23 b,70.4322947,-40.0445299,194.82881
HD 17156 b,42.4366123,71.7530882,
HD 23472 d,55.4590314,-62.7672667,
HAT-P-53 b,21.8711012,38.9681137,
NGTS-13 b,176.2402326,-38.1397158,1538.2972
TOI-3082 b,195.9080719,-19.2189845,
HAT-P-2 b,245.1514324,41.0479601,2873.1832
NGTS-13 b,176.2402326,-38.1397158,
TOI-1408 b,313.5110469,72.5806455,537.13001
TOI-2096 b,151.6186989,74.8272107,
Qatar-9 b,160.748095,60.9641194,
TOI-3894 b,201.3748265,52.7681036,270.15415
HD 149026 b,247.6229827,38.3475349,113.14748
NGTS-18 b,180.5462193,-35.5486091,129.99182
HD 17156 b,42.4366123,71.7530882,991.59
HD 149026 b,247.6229827,38.3475349,102.34126
TrES-5 b,305.2219454,59.4489033,
HAT-P-2 b,245.1514324,41.0479601,2765.121
HD 23472 e,55.4590314,-62.7672667,
TOI-2587 A b,115.9317105,-1.073333,
TOI-4463 A b,279.3581286,18.7299522,252.35576
HD 23472 b,55.4590314,-62.7672667,
GJ 143 b,51.7501882,-63.500166,
TOI-5803 b,327.2487497,6.2781777,
HD 213885 c,338.9837166,-59.864829,19.95
TOI-1853 b,211.4593468,16.9923703,
TOI-4860 b,183.563961,-13.1748411,
HAT-P-53 b,21.8711012,38.9681137,
TOI-5616 b,184.9016378,48.6832895,
Qatar-9 b,160.748095,60.9641194,
TOI-2000 c,146.3970631,-66.6866307,
Qatar-9 b,160.748095,60.9641194,
HAT-P-64 b,68.9743955,2.4312732,
TOI-1736 c,43.4344615,69.101345,2441.0
TOI-2796 b,84.1527191,0.8962788,139.8445
TOI-3629 b,359.7933851,39.3142556,77.2323
TOI-3261 b,47.7285242,-73.531972,
NGTS-18 b,180.5462193,-35.5486091,
WASP-124 b,332.7143373,-30.7497189,190.698
WASP-25 b,195.3597581,-27.5222273,190.06234
WASP-25 b,195.3597581,-27.5222273,139.8452
WASP-25 b,195.3597581,-27.5222273,182.43442
TOI-125 b,23.5934253,-66.6763495,
WASP-56 b,183.3660401,23.055687,181.473
HATS-70 b,109.1045212,-31.2443947,
GJ 436 b,175.5505363,26.7030669,
WASP-1 b,5.1669536,31.9899732,291.76794
XO-6 b,94.7929552,73.8275672,
TOI-5293 A b,355.828682,-2.0450945,170.4
NGTS-5 b,221.0582692,5.6053735,72.78307
NGTS-1 b,82.7142134,-36.6309812,
TOI-5301 b,12.9908008,13.0783712,1182.32167
TOI-3984 A b,226.3371468,36.7869747,44.0
TOI-3023 b,165.3158231,-72.3567044,197.05361
TrES-5 b,305.2219454,59.4489033,568.9157
NGTS-1 b,82.7142134,-36.6309812,
NGTS-1 b,82.7142134,-36.6309812,
KELT-12 b,267.6404906,36.5701761,301.9385
TOI-3807 b,139.1125648,69.0741284,
WASP-153 b,279.2624729,40.0186905,
HAT-P-20 b,111.9164295,24.3361185,
TOI-1691 b,272.4041179,86.860343,
NGTS-24 b,168.5638892,-37.9101328,
Qatar-9 b,160.748095,60.9641194,378.2177
Teegarden's Star b,43.2691449,16.8649024,1.05
Teegarden's Star c,43.2691449,16.8649024,1.11
WASP-25 b,195.3597581,-27.5222273,184.3414
TOI-1669 b,45.9564744,83.5874273,182.11568
XO-6 b,94.7929552,73.8275672,
TOI-5301 b,12.9908008,13.0783712,1080.61658
TOI-1516 b,340.0846204,69.5037313,
HD 207897 b,325.2016451,84.3337613,
TOI-1288 c,313.1670294,65.6087833,84.0
WASP-25 b,195.3597581,-27.5222273,184.334
WASP-25 b,195.3597581,-27.5222273,
WASP-124 b,332.7143373,-30.7497189,
WASP-25 b,195.3597581,-27.5222273,
WASP-124 b,332.7143373,-30.7497189,
WASP-25 b,195.3597581,-27.5222273,
WASP-124 b,332.7143373,-30.7497189,
WASP-13 b,140.1029654,33.8823291,114.4188
TrES-1 b,286.0408755,36.632536,238.998
XO-5 b,116.7163868,39.0944695,331.81452
55 Cnc d,133.1468373,28.3298154,1287.2115
55 Cnc d,133.1468373,28.3298154,991.6
55 Cnc e,133.1468373,28.3298154,14.30235
WASP-140 b,60.3855387,-20.4509991,
WASP-13 b,140.1029654,33.8823291,158.915
eps CrB b,239.3965057,26.8776171,2129.461
WASP-160 B b,87.679561,-27.6233218,
Kepler-41 b,294.5132465,45.9816453,
KOI-94 b,297.3330716,41.8911186,
HD 173416 b,280.9005676,36.556857,858.1
HD 37605 c,85.0074276,6.0595116,1069.771
HD 210702 b,332.9638643,16.0404806,574.63664
nu Oph b,269.7566013,-9.7741342,7057.73298
nu Oph c,269.7566013,-9.7741342,7838.32346
HD 23472 c,55.4590314,-62.7672667,17.18
TOI-1273 b,214.1208564,58.3902534,
WASP-25 b,195.3597581,-27.5222273,
WASP-124 b,332.7143373,-30.7497189,
WASP-124 b,332.7143373,-30.7497189,
WASP-25 b,195.3597581,-27.5222273,
Teegarden's Star b,43.2691449,16.8649024,1.16
Teegarden's Star c,43.2691449,16.8649024,1.05
TOI-1273 b,214.1208564,58.3902534,70.55791
WASP-25 b,195.3597581,-27.5222273,
WASP-124 b,332.7143373,-30.7497189,
TOI-5803 b,327.2487497,6.2781777,
55 Cnc b,133.1468373,28.3298154,266.9772
HD 23472 f,55.4590314,-62.7672667,
55 Cnc b,133.1468373,28.3298154,249.17872
55 Cnc b,133.1468373,28.3298154,261.881
55 Cnc b,133.1468373,28.3298154,260.61
55 Cnc b,133.1468373,28.3298154,254.25
55 Cnc b,133.1468373,28.3298154,254.25
55 Cnc b,133.1468373,28.3298154,266.9772
55 Cnc b,133.1468373,28.3298154,263.9785
55 Cnc b,133.1468373,28.3298154,255.4
55 Cnc c,133.1468373,28.3298154,53.711
55 Cnc c,133.1468373,28.3298154,52.44
